Name,Sport,Discipline,Age Category,Total Miles,Total Laps,Average Speed (kph),Total Time (HH:MM:SS)
Team 98,Inline Skating,Roller Team,, True
Joseph Mazzone,Skateboard,Overall Open,, False
Parker Bugg,Inline Skating,Inline Individual,, False
Adam Ornelles,Skateboard,Overall Open,, False
Mitchell Pascual,Skateboard,Overall Open,, False
Soflo Supskaters,Paddle,Paddle Team,, True
Supskate Virgins,Paddle,Paddle Team,, True
Miles Kipper,Skateboard,Open Clydesdale,, False
Phillip Scearce,Paddle Push,Open Paddle Push,, False
Francisco Ramirez,Inline Skating,Inline Individual,, False
Panthers Warriors,Paddle,Paddle Team,, True
Socias Sucias,Inline Skating,Roller Team,, True
Mark Groenenboom,Skateboard,Open Clydesdale,, False
Eduardo Machado,Skateboard,Skateboard,Ages 30 - 39, False
Colby Cummings,Skateboard,Skateboard,Ages 19 - 29, False
Damen Sistrunk,Skateboard,Skateboard,Ages 40 - 49, False
Team 92,Skateboard,Push Team,, True
Titus Francis,Skateboard,Skateboard,Ages 19 - 29, False
Matt Ayres,Skateboard,Open Clydesdale,, False
Sam Robinson,Skateboard,Skateboard,Ages 19 - 29, False
Jeffrey Vyain,Skateboard,Skateboard,Ages 30 - 39, False
Daniel Dimassa,Skateboard,Skateboard,Ages 30 - 39, False
Jayson Severin,Skateboard,Skateboard,Ages 19 - 29, False
Jaime Giraldo,Inline Skating,Inline Individual,, False
Julia Seifer-Smith,Paddle,Female SU Paddle,, False
Dallas Yanez,Skateboard,Skateboard,Ages 40 - 49, False
Salty Dingman,Skateboard,Skateboard,Ages 30 - 39, False
Eddy Pacheco,Skateboard,Skateboard,Ages 40 - 49, False
Ian Whyte,Skateboard,Skateboard,Ages 50+, False
Sadott Corona,Skateboard,Skateboard,Ages 19 - 29, False
Tony Mao,Skateboard,Skateboard,Ages 30 - 39, False
Jeffrey Weinstock,Skateboard,Skateboard,Ages 50+, False
Damen 2 Sistrunk,Skateboard,Skateboard,Ages 14 - 18, False
Barry Weiner,Skateboard,Skateboard,Ages 50+, False
Justin Bright,Skateboard,Skateboard,Ages 19 - 29, False
Nick Carbot,Skateboard,Skateboard,Ages 14 - 18, False
Scott Ziegler,Skateboard,Skateboard,Ages 30 - 39, False
Eric Rineer,Skateboard,Skateboard,Ages 40 - 49, False
Ben Bailey,Paddle,Open SU Paddle,, False
Tiye Gallimore,Skateboard,Overall Female,, False
Menen Maxwell,Skateboard,Overall Female,, False
Geran Mahan-Fredrick,Skateboard,Skateboard,Ages 19 - 29, False
Jeff Balls,Skateboard,Skateboard,Ages 40 - 49, False
Ana Maria Groenenboom,Skateboard,Overall Female,, False
Ella Poteet,Skateboard,Overall Female,, False
Audrey Groenenboom,Skateboard,Skateboard,Ages 01 - 13, False
Katheryn Leffler,Paddle,Female SU Paddle,, False
Marc Weiner,Skateboard,Skateboard,Ages 30 - 39, False
Michael Richmond,Skateboard,Skateboard,Ages 19 - 29, False
Kelsey Ryan,Inline Skating,Inline Individual,, False
Gianna Leffler,Inline Skating,Inline Individual,, False
Victoria Burgess,Paddle,Female SU Paddle,, False
Gabriella Navarrete,Inline Skating,Open Roller,, False
Tony Carbot,Paddle,Open SU Paddle,, False
Paul Closs,Inline Skating,Open Roller,, False
Ruby Andras,Skateboard,Skateboard,Ages 01 - 13, False
Kobe Reagan,Skateboard,Skateboard,Ages 14 - 18, False
Michael Herrera,Skateboard,Skateboard,Ages 30 - 39, False
Amy Gage,Paddle Push,Open Paddle Push,, False
Brian Joseph,Skateboard,Skateboard,Ages 19 - 29, False
Colin Wright,Skateboard,Skateboard,Ages 14 - 18, False
Daniel Quintana,Skateboard,Skateboard,Ages 14 - 18, False
Jonni Andras,Skateboard,Skateboard,Ages 14 - 18, False
Tyler Nemes,Skateboard,Skateboard,Ages 40 - 49, False
Kyra Pulliam,Inline Skating,Open Roller,, False
Team 99,Skateboard,Push Team,, True
Tyler Martinez,Skateboard,Skateboard,Ages 01 - 13, False
Siena Strauss,Skateboard,Skateboard,Ages 01 - 13, False
Joseph Williams,Skateboard,Skateboard,Ages 50+, False
Kevin Machuca,Inline Skating,Inline Individual,, False
Henri Strauss,Skateboard,Skateboard,Ages 01 - 13, False
Sebastian Strauss,Skateboard,Skateboard,Ages 01 - 13, False
Lorenzo Leffler,Skateboard,Skateboard,Ages 19 - 29, False
Juan Malave,Skateboard,Skateboard,Ages 19 - 29, False
Calleigh Little,Skateboard,Skateboard,Ages 19 - 29, False
Gil Beyda,Skateboard,Skateboard,Ages 50+, False
Sirena Andras,Skateboard,Skateboard,Ages 40 - 49, False
Don Sandusky,Paddle,Open SU Paddle,, False
Zachary Bradford,Skateboard,Skateboard,Ages 14 - 18, False
Harley Waggoner,Skateboard,Skateboard,Ages 30 - 39, False
Team 94,Skateboard,Push Team,, True
Jasmine Gomez,Inline Skating,Female Roller,, False
Seine Davids,Skateboard,Skateboard,Ages 19 - 29, False
Kelso Waggoner,Skateboard,Skateboard,Ages 14 - 18, False
Axel Andras,Skateboard,Skateboard,Ages 01 - 13, False
Kevin Baron,Skateboard,Skateboard,Ages 40 - 49, False
Bettie Waggoner,Inline Skating,Female Roller,, False
Zack Knezevic,Skateboard,Skateboard,Ages 40 - 49, False
Rich Ramos,Skateboard,Skateboard,Ages 50+, False
Jon Andras,Skateboard,Skateboard,Ages 40 - 49, False
Jessica Giraldo,Skateboard,Skateboard,Ages 30 - 39, False
Azuree' Cox,Inline Skating,Female Roller,, False
