Name,Sport,Discipline,Age Category,Total Miles,Total Laps,Average Speed (kph),Total Time (HH:MM:SS)
Ride More Team,Skateboard,Team,, True
Eric Palmer,Skateboard,Overall,, False
Conan Gay,Skateboard,Overall,, False
Team Walker,Skateboard,Team,, True
Jay Cobb,Skateboard,Overall,, False
Kyle Yan,Skateboard,Skateboard,Ages 19+, False
William Frank,Skateboard,Skateboard,Ages 19+, False
Ted Mcdonald,Skateboard,Automated,, False
Sofa Kings,Skateboard,Team,, True
Harrison Tucker,Skateboard,Skateboard,Ages 14 - 18, False
Andrew Andras,Skateboard,Skateboard,Ages 19+, False
Mark Groenenboom,Skateboard,Skateboard,Ages 19+, False
Jorge Navarro,Skateboard,Skateboard,Ages 19+, False
Jeffrey Vyain,Skateboard,Skateboard,Ages 19+, False
Joey Mallette,Skateboard,Skateboard,Ages 14 - 18, False
Julian F. Rodriguez,Skateboard,Skateboard,Ages 14 - 18, False
Deejay Pascua,Paddle,Stand UP Paddle,, False
Daniel Cambay,Paddle,Stand UP Paddle,, False
Scott Moore,Skateboard,Skateboard,Ages 19+, False
Ralf Merz,Skateboard,Skateboard,Ages 19+, False
Jeremiah Pascua,Paddle,Stand UP Paddle,, False
Joe Mazzone,Skateboard,Skateboard,Ages 19+, False
Claudia Clase,Skateboard,Overall,, False
James Peters,Skateboard,Skateboard,Ages 19+, False
Jesse Howley,Skateboard,Skateboard,Ages 19+, False
Andrew Trujillo,Skateboard,Skateboard,Ages 14 - 18, False
Edward Francavilla,Skateboard,Skateboard,Ages 19+, False
Jude Breaux,Skateboard,Skateboard,Ages 19+, False
Kiefer Dixon,Skateboard,Skateboard,Ages 19+, False
Francisco L. Rodriguez,Skateboard,Skateboard,Ages 19+, False
Jeff Crowe,Skateboard,Skateboard,Ages 19+, False
Adam Dabonka,Skateboard,Skateboard,Ages 19+, False
Anne Palmer,Skateboard,Overall,, False
Maxwell Frank,Skateboard,Skateboard,Ages 19+, False
Clark Blumenstein,Skateboard,Skateboard,Ages 19+, False
Steve Starke,Skateboard,Skateboard,Ages 19+, False
Juan Molina,Skateboard,Skateboard,Ages 19+, False
Jason Forrest,Skateboard,Skateboard,Ages 19+, False
Allyn Charpentier,Skateboard,Skateboard,Ages 19+, False
Guillermo Allase,Skateboard,Skateboard,Ages 19+, False
Chip Walter,Paddle,Stand UP Paddle,, False
Ehren Mohammadi,Skateboard,Skateboard,Ages 19+, False
Leonard Leffler,Skateboard,Skateboard,Ages 19+, False
Sasha Popper,Skateboard,Skateboard,Ages 19+, False
Drew Charpentier,Skateboard,Skateboard,Ages 19+, False
Conor Burns,Skateboard,Skateboard,Ages 14 - 18, False
Thomas Hamilton,Skateboard,Skateboard,Ages 19+, False
Spencer Steelman,Skateboard,Skateboard,Ages 19+, False
Gustavo Amarchand,Skateboard,Skateboard,Ages 14 - 18, False
