Name,Sport,Discipline,Age Category,Total Miles,Total Laps,Average Speed (kph),Total Time (HH:MM:SS)
FRANCISCO RAMIREZ,Inline Skating,Inline Speed Skating,40-49, False
Daniela Tapia,Inline Skating,Inline Speed Skating,19-29, False
Parker Bugg,Inline Skating,Inline Speed Skating,30-39, False
Diego Posada,Inline Skating,Inline Speed Skating,30-39, False
Adam Ornelles,Skateboard,Skateboard Push,19-29, False
Sebastian Guzman,Inline Skating,Inline Speed Skating,19-29, False
Kacie Cleveland,Inline Skating,Inline Speed Skating,30-39, False
Arnav Sonic Shah,Inline Skating,Inline Speed Skating,30-39, False
Eric Palmer,Skateboard,Skateboard Push,30-39, False
William Frank,Skateboard,Skateboard Push,30-39, False
Scott Hurdleston,Skateboard,Skateboard Push,30-39, False
Miles Kipper,Skateboard,Skateboard Push,30-39, False
Andrew Andras,Paddle,Skateboard Paddle,40-49, False
Stefan Gransow,Skateboard,Skateboard Push,30-39, False
Jonathan Lee,Skateboard,Skateboard Push,19-29, False
John Fisher,Skateboard,Skateboard Push,40-49, False
Holger Witzel,Skateboard,Skateboard Push,50-59, False
Conan Gay,Skateboard,Skateboard Push,40-49, False
Jen Shyu,Inline Skating,Inline Speed Skating,40-49, False
Ralf Merz,Skateboard,Skateboard Push,40-49, False
Ian Whyte,Skateboard,Skateboard Push,50-59, False
Titus Francis,Skateboard,Skateboard Push,19-29, False
Maxwell Frank,Skateboard,Skateboard Push,19-29, False
Paul Kent,Skateboard,Skateboard Push,40-49, False
Phillip Scearce,Skateboard,Skateboard Push,50-59, False
Mathieu Bon,Skateboard,Skateboard Push,30-39, False
Gavin Conti,Skateboard,Skateboard Push,30-39, False
Juan Fernando Reinoso,Inline Skating,Inline Speed Skating,19-29, False
Lauren ODonnell,Inline Skating,Inline Speed Skating,14-18, False
Justin Bright,Skateboard,Skateboard Push,19-29, False
Jeff Vyain,Skateboard,Skateboard Push,30-39, False
Thierry Barant,Skateboard,Skateboard Push,50-59, False
Geran Mahan-Fredrick,Skateboard,Skateboard Push,19-29, False
Mathew Anderson,Inline Skating,Inline Speed Skating,30-39, False
Anthony Mao,Skateboard,Skateboard Push,30-39, False
Nicolas Pinson,Skateboard,Skateboard Push,19-29, False
Zachary George,Skateboard,Skateboard Push,30-39, False
Joshua Easley,Paddle,Skateboard Paddle,30-39, False
Robin Groß,Skateboard,Skateboard Push,19-29, False
Damen Sistrunk,Skateboard,Skateboard Push,50-59, False
Sam Fistel,Inline Skating,Inline Speed Skating,50-59, False
Emmanuel Brion,Skateboard,Skateboard Push,40-49, False
Jeremiah Pascua,Paddle Push,Skateboard Paddle/Push,30-39, False
Scott Ziegler,Skateboard,Skateboard Push,30-39, False
Oliver Schumacher,Skateboard,Skateboard Push,19-29, False
Eduardo Machado,Skateboard,Skateboard Push,30-39, False
sadott corona,Skateboard,Skateboard Push,19-29, False
Salty Dingman,Skateboard,Skateboard Push,30-39, False
Jeff Balls,Skateboard,Skateboard Push,40-49, False
Jeffrey Weinstock,Skateboard,Skateboard Push,50-59, False
Benjamin Bailey,Paddle,Skateboard Paddle,50-59, False
Michael Herrera,Skateboard,Skateboard Push,30-39, False
Daniel Uribe,Inline Skating,Inline Speed Skating,19-29, False
Raveena Adams,Skateboard,Skateboard Push,19-29, False
Barry Weiner,Skateboard,Skateboard Push,50-59, False
matthew ayres,Skateboard,Skateboard Push,40-49, False
Lucille Poteet,Skateboard,Skateboard Push,14-18, False
Paul Closs,Quad Skating,Quad Skate,50-59, False
Ella Poteet,Skateboard,Skateboard Push,19-29, False
Valentina Navarro,Inline Skating,Inline Speed Skating,19-29, False
Mark Harris,Skateboard,Skateboard Push,19-29, False
Kathi Kampen,Quad Skating,Quad Skate,40-49, False
Robert Carney,Paddle,Skateboard Paddle,50-59, False
Chad Torkelson,Inline Skating,Inline Speed Skating,30-39, False
Joe Gerin,Skateboard,Skateboard Push,19-29, False
Timothy Payne,Paddle Push,Skateboard Paddle/Push,60+, False
Dallas Yanez,Skateboard,Skateboard Push,50-59, False
Samuel Robinson,Skateboard,Skateboard Push,19-29, False
Amanda Latoria,Skateboard,Skateboard Push,30-39, False
Julia Seifer-Smith,Paddle,Skateboard Paddle,40-49, False
Tony Carbot,Paddle,Skateboard Paddle,50-59, False
DAVID WHITENER,Paddle Push,Skateboard Paddle/Push,30-39, False
Tyler Fernandez,Skateboard,Skateboard Push,13 & under, False
Batman WhoLaughs,Skateboard,Skateboard Push,19-29, False
Emanuelle Silva,Inline Skating,Inline Speed Skating,19-29, False
nick carbot,Skateboard,Skateboard Push,14-18, False
James Sands,Skateboard,Skateboard Push,19-29, False
William Faugere,Skateboard,Skateboard Push,50-59, False
Reb Claytor,Skateboard,Skateboard Push,30-39, False
Kenny Spranzo,Skateboard,Skateboard Push,19-29, False
Andrii Vasylevskyi,Skateboard,Skateboard Push,30-39, False
Max Ch,Skateboard,Skateboard Push,40-49, False
Brian Joseph,Skateboard,Skateboard Push,19-29, False
Jared Perkins,Skateboard,Skateboard Push,30-39, False
Michael Hippensteel,Skateboard,Skateboard Push,30-39, False
Brian Floyd,Skateboard,Skateboard Push,40-49, False
Clark Blumenstein,Paddle Push,Skateboard Paddle/Push,30-39, False
Victor Quintana,Paddle,Skateboard Paddle,30-39, False
Ekemini Nkanta,Skateboard,Skateboard Push,19-29, False
Daniel DiMassa,Skateboard,Skateboard Push,30-39, False
John ODonnell,Quad Skating,Quad Skate,40-49, False
ALEC BASSOS,Paddle,Skateboard Paddle,30-39, False
William Polewchak,Quad Skating,Quad Skate,60+, False
