Name,Sport,Discipline,Age Category,Total Miles,Total Laps,Average Speed (kph),Total Time (HH:MM:SS)
Andrew Andras,Skateboard,Individual,, False
B N B S U,Skateboard,Team,, True
Conan Gay,Skateboard,Individual,, False
Rick Schorr,Skateboard,Individual,, False
Eric Palmer,Skateboard,Individual,, False
Shane Perrin,Skateboard,Individual,, False
Evolve Team,Skateboard,Automated,, True
Alexandre Bangnoi,Skateboard,Individual,, False
Ehren Mohammadi,Skateboard,Individual,, False
William Frank,Skateboard,Individual,, False
Kyle Yan,Skateboard,Individual,, False
Unicycle Ninjas,Skateboard,Team,, True
Borja Estrada,Skateboard,Individual,, False
JoÒo Morales,Skateboard,Individual,, False
Mark Groenenboom,Skateboard,Individual,, False
Deejay Pascua,Skateboard,Individual,, False
Kiefer Dixon,Skateboard,Individual,, False
Claudia Clase,Skateboard,Individual,, False
Colleen Pelech,Skateboard,Individual,, False
William Coale,Skateboard,Individual,, False
Ralf Merz,Skateboard,Individual,, False
Julian F. Rodriguez,Skateboard,Individual,, False
Scott Moore,Skateboard,Individual,, False
Jeffrey Vyain,Skateboard,Individual,, False
Jeremiah Pascua,Skateboard,Individual,, False
Skateful Dead,Skateboard,Team,, True
Adam Dabonka,Skateboard,Individual,, False
Melanie L. Castro,Skateboard,Individual,, False
Stone Selseth,Skateboard,Individual,, False
Freddy Victorio,Skateboard,Individual,, False
Jeff Crowe,Skateboard,Individual,, False
Giovanni Barbazza,Skateboard,Individual,, False
Anne Palmer,Skateboard,Individual,, False
Allyn Charpentier,Skateboard,Individual,, False
Paved Wave,Skateboard,Individual,, False
Harrison Tucker,Skateboard,Individual,, False
Sasha Popper,Skateboard,Individual,, False
Francisco L. Rodriguez,Skateboard,Individual,, False
Daniel Cambay,Skateboard,Individual,, False
Clark Blumenstein,Skateboard,Individual,, False
Chaz Awesumness,Skateboard,Individual,, False
Richard Prine,Skateboard,Individual,, False
Brian Cui,Skateboard,Individual,, False
Gustavo Amarchand,Skateboard,Individual,, False
Marcus White,Skateboard,Individual,, False
Morgan Dossett,Skateboard,Individual,, False
Neena Schueller,Skateboard,Individual,, False
Ariel Casanueva,Skateboard,Individual,, False
Darwin Fuentes,Skateboard,Individual,, False
Steve Starke,Skateboard,Individual,, False
Jordi Ensign,Skateboard,Individual,, False
Herb Mooney,Skateboard,Individual,, False
Jon Duringer,Skateboard,Individual,, False
Darrian Balongie,Skateboard,Individual,, False
Dwight Williams,Skateboard,Individual,, False
Cody Lenz,Skateboard,Individual,, False
Chip Walter,Skateboard,Individual,, False
Alex Pelkey,Skateboard,Individual,, False
Kevin Baron,Skateboard,Individual,, False
Andy Ortiz,Skateboard,Individual,, False
Ronald Lewis,Skateboard,Individual,, False
Mark Harris,Skateboard,Individual,, False
Kyle Rogers,Skateboard,Individual,, False
Adrian F. Rodriguez,Skateboard,Individual,, False
Joseph Williams,Skateboard,Individual,, False
Raul Olague,Skateboard,Individual,, False
Gavin Moore,Skateboard,Individual,, False
Omar Mejias,Skateboard,Individual,, False
Scott Baste,Skateboard,Individual,, False
Brad Bentson,Skateboard,Individual,, False
Isaac Farin,Skateboard,Individual,, False
