Name,Sport,Discipline,Age Category,Total Miles,Total Laps,Average Speed (kph),Total Time (HH:MM:SS)
Andrew Andras,Skateboard,Skateboard,, False
Rick Schorr,Skateboard,Skateboard,, False
Team Edward,Skateboard,Skateboard,, True
Leunam Segura,Skateboard,Skateboard,, False
Eric Palmer,Skateboard,Skateboard,, False
Alexandre Bangnoi,Skateboard,Skateboard,, False
Greg Fiess,Skateboard,Skateboard,, False
Kiefer Dixon,Skateboard,Skateboard,, False
Team Joner,Skateboard,Skateboard,, True
Colleen Pelech,Skateboard,Skateboard,, False
Steve Starke,Skateboard,Skateboard,, False
Joao Morales,Skateboard,Skateboard,, False
Scott Moore,Skateboard,Skateboard,, False
James Peters,Skateboard,Skateboard,, False
Julian Rodriguez,Skateboard,Skateboard,, False
Robert Erisman,Skateboard,Skateboard,, False
Andrei Hippix,Skateboard,Skateboard,, False
Cami Best,Skateboard,Skateboard,, False
Melanie Castro,Skateboard,Skateboard,, False
Ehren Mohammadi,Skateboard,Skateboard,, False
Melissa Santana,Skateboard,Skateboard,, False
James Kearns,Skateboard,Skateboard,, False
Christian Gidus,Skateboard,Skateboard,, False
Chris Freeman,Skateboard,Skateboard,, False
Richard Prine,Skateboard,Skateboard,, False
Dylan Maclean,Skateboard,Skateboard,, False
Jordi Ensign,Skateboard,Skateboard,, False
Kevin Baron,Skateboard,Skateboard,, False
Dwight Williams,Skateboard,Skateboard,, False
Donald Mcneill,Skateboard,Skateboard,, False
Shawn Jolly,Skateboard,Skateboard,, False
Marcus White,Skateboard,Skateboard,, False
Mark Harris,Skateboard,Skateboard,, False
Andrew Kenna,Skateboard,Skateboard,, False
Jerrod Waters,Skateboard,Skateboard,, False
Allen Martinez,Skateboard,Skateboard,, False
Danny Pichardo,Skateboard,Skateboard,, False
Ronald Lewis,Skateboard,Skateboard,, False
Adrian F Rodriguez,Skateboard,Skateboard,, False
