Name,Sport,Discipline,Age Category,Total Miles,Total Laps,Average Speed (kph),Total Time (HH:MM:SS)
Ridemore Team,Skateboard,Team,, True
Andrew Andras,Skateboard,Skateboard,Ages 30 - 39, False
Eric Palmer,Skateboard,Skateboard,Ages 19 - 29, False
Kyle Yan,Skateboard,Skateboard,Ages 19 - 29, False
J J Cobb,Skateboard,Skateboard,Ages 40 - 49, False
Harrison Tucker,Skateboard,Skateboard,Ages 14 - 18, False
Rick Pronk,Skateboard,Skateboard,Ages 19 - 29, False
Conan Gay,Skateboard,Skateboard,Ages 40 - 49, False
Julian Rodriguez,Skateboard,Skateboard,Ages 14 - 18, False
Jude Breaux,Skateboard,Skateboard,Ages 30 - 39, False
Oas,Skateboard,Team,, True
James Peters,Skateboard,Skateboard,Ages 40 - 49, False
Jesse Howley,Skateboard,Skateboard,Ages 40 - 49, False
John Mcbrayer,Skateboard,Skateboard,Ages 30 - 39, False
Deejay Pascua,Paddle,Stand UP Paddle,, False
Clark Blumenstein,Skateboard,Skateboard,Ages 30 - 39, False
Ralf Merz,Skateboard,Skateboard,Ages 40 - 49, False
Ehren Mohammadi,Skateboard,Skateboard,Ages 19 - 29, False
Christopher Hurdleston,Skateboard,Skateboard,Ages 19 - 29, False
Stephane Jouffre,Skateboard,Skateboard,Ages 40 - 49, False
Guillermo Allase,Skateboard,Skateboard,Ages 19 - 29, False
Evan Beshures,Skateboard,Skateboard,Ages 19 - 29, False
Chip Walter,Paddle,Stand UP Paddle,, False
Anne Palmer,Skateboard,Skateboard,Ages 50+, False
Steve Starke,Skateboard,Skateboard,Ages 50+, False
Leonard Leffler,Skateboard,Skateboard,Ages 40 - 49, False
Jorge Navarro,Skateboard,Skateboard,Ages 40 - 49, False
Calleigh Little,Skateboard,Skateboard,Ages 19 - 29, False
Eddy Pacheco,Skateboard,Skateboard,Ages 40 - 49, False
Claudia Clase,Skateboard,Skateboard,Ages 19 - 29, False
Malcolm Eastman,Skateboard,Skateboard,Ages 19 - 29, False
Raymond Tan,Skateboard,Skateboard,Ages 50+, False
