Name,Sport,Discipline,Age Category,Total Miles,Total Laps,Average Speed (kph),Total Time (HH:MM:SS)
Kyle Yan,Skateboard,Skateboard,Ages 19 - 29, False
Miguel Angel,Skateboard,Skateboard,Ages 19 - 29, False
Moritz Langen,Skateboard,Skateboard,Ages 19 - 29, False
Adrian Oh,Skateboard,Skateboard,Ages 30 - 39, False
Ian Whyte,Skateboard,Skateboard,Ages 50+, False
Team Are We There Yet,Skateboard,Team,, True
Barney Broomer Bezemer,Skateboard,Skateboard,Ages 50+, False
Will Frank,Skateboard,Skateboard,Ages 19 - 29, False
Ralf Merz,Skateboard,Skateboard,Ages 40 - 49, False
Maxwell Frank,Skateboard,Skateboard,Ages 19 - 29, False
Drew Maslowski,Skateboard,Skateboard,Ages 19 - 29, False
Phillip Scearce,Skateboard,Skateboard,Ages 50+, False
Francisco Rodriguez,Skateboard,Skateboard,Ages 40 - 49, False
Mark Groenenboom,Skateboard,Skateboard,Ages 40 - 49, False
Ryan Villa,Skateboard,Skateboard,Ages 19 - 29, False
Raymond Tan,Skateboard,Skateboard,Ages 50+, False
Leonard Leffler,Skateboard,Skateboard,Ages 40 - 49, False
Felipe Scolfaro,Skateboard,Skateboard,Ages 30 - 39, False
Calleigh Little,Skateboard,Skateboard,Ages 19 - 29, False
Danielle Van Veen,Skateboard,Skateboard,Ages 19 - 29, False
Daniel Dimassa,Skateboard,Skateboard,Ages 30 - 39, False
Randall Mcclelland,Skateboard,Skateboard,Ages 40 - 49, False
Eric Rineer,Skateboard,Skateboard,Ages 40 - 49, False
Anne Palmer,Skateboard,Skateboard,Ages 50+, False
Nick Verneau,Skateboard,Skateboard,Ages 19 - 29, False
Salty Dingman,Skateboard,Skateboard,Ages 19 - 29, False
Ryan Porter,Skateboard,Skateboard,Ages 40 - 49, False
Jared Perkins,Paddle,Stand UP Paddle,, False
Geo Pagan,Skateboard,Skateboard,Ages 19 - 29, False
Trent Sword,Skateboard,Skateboard,Ages 19 - 29, False
Andy Naumann,Skateboard,Skateboard,Ages 30 - 39, False
Sirena Andras,Skateboard,Skateboard,Ages 40 - 49, False
Michael Vigorito,Skateboard,Skateboard,Ages 19 - 29, False
Ehren Mohammadi,Skateboard,Skateboard,Ages 19 - 29, False
Matt Ayres,Skateboard,Skateboard,Ages 40 - 49, False
Martin Schumacher,Skateboard,Skateboard,Ages 40 - 49, False
Chip Walter,Paddle,Stand UP Paddle,, False
Mark Harris,Paddle,Stand UP Paddle,, False
Barry Weiner,Skateboard,Skateboard,Ages 50+, False
Joseph Williams,Skateboard,Skateboard,Ages 50+, False
Hopemare Jackson,Skateboard,Skateboard,Ages 19 - 29, False
Harrison Tucker,Skateboard,Skateboard,Ages 14 - 18, False
Jessica Valdes,Skateboard,Skateboard,Ages 14 - 18, False
Alex Pelkey,Paddle,Stand UP Paddle,, False
James Mullen,Skateboard,Skateboard,Ages 19 - 29, False
Edwin Aguiriano,Skateboard,Skateboard,Ages 19 - 29, False
Jeffrey Crowe,Skateboard,Skateboard,Ages 50+, False
Jonathan Strauss,Skateboard,Skateboard,Ages 30 - 39, False
Christopher Slaughter,Skateboard,Skateboard,Ages 40 - 49, False
Ben Cochran,Skateboard,Skateboard,Ages 19 - 29, False
Brian Joseph,Skateboard,Skateboard,Ages 19 - 29, False
Lorenzo Leffler,Skateboard,Skateboard,Ages 19 - 29, False
L A Hatchett,Skateboard,Skateboard,Ages 19 - 29, False
Adrian Rodriguez,Skateboard,Skateboard,Ages 01 - 13, False
Ana Maria Groenenboom,Skateboard,Skateboard,Ages 01 - 13, False
Jorge Rodriguez,Paddle,Stand UP Paddle,, False
Alex Vazquez,Skateboard,Skateboard,Ages 40 - 49, False
Christian Berchon,Skateboard,Skateboard,Ages 30 - 39, False
Kevin Baron,Skateboard,Skateboard,Ages 40 - 49, False
Audrey Groenenboom,Skateboard,Skateboard,Ages 01 - 13, False
Team Andras Kids,Skateboard,Team,, True
Julia Seifer-Smith,Paddle,Stand UP Paddle,, False
Alfredo Valdes,Paddle,Stand UP Paddle,, False
Joe Frank,Skateboard,Skateboard,Ages 50+, False
Brooks Miller,Skateboard,Skateboard,Ages 50+, False
Sierra Porter,Skateboard,Skateboard,Ages 01 - 13, False
Micah Willis,Paddle,Stand UP Paddle,, False
Annie Kritzler,Skateboard,Skateboard,Ages 01 - 13, False
