Name,Sport,Discipline,Age Category,Total Miles,Total Laps,Average Speed (kph),Total Time (HH:MM:SS)
Daniel Uribe,Inline Skating,Inline Speed Skating,30-39, False
Chad Torkelson,Inline Skating,Inline Speed Skating,40-49, False
Brian Oswald,Inline Skating,Inline Speed Skating,50-59, False
Joseph Mazzone,Skateboard,Skateboard Push,30-39, False
Sam Fistel,Inline Skating,Inline Speed Skating,60+, False
Jarod Ames,Skateboard,Skateboard Push,19-29, False
Lena Meringdal,Skateboard,Skateboard Push,19-29, False
Richard Kesseli,Skateboard,Skateboard Push,30-39, False
Andrew Andras,Paddle,Skateboard Paddle,40-49, False
Will Frank,Skateboard,Skateboard Push,30-39, False
Jeremiah Pascua,Paddle Push,Skateboard Paddle/Push,30-39, False
Gavin Conti,Skateboard,Skateboard Push,30-39, False
Juan Molina,Skateboard,Skateboard Push,30-39, False
Silvio Ortiz,Inline Skating,Inline Speed Skating,50-59, False
Cori Wolff,Skateboard,Skateboard Push,40-49, False
Thomas Albright-Valadez,Skateboard,Skateboard Push,19-29, False
Karin Gabriel,Inline Skating,Inline Speed Skating,40-49, False
Jacob Penning,Skateboard,Skateboard Push,30-39, False
Matthew Wentz,Inline Skating,Inline Speed Skating,40-49, False
Sophaktra Tol,Skateboard,Skateboard Push,40-49, False
Maxwell Frank,Skateboard,Skateboard Push,30-39, False
Shafeeq Sinnamohideen,Inline Skating,Inline Speed Skating,40-49, False
Reinell González,Inline Skating,Inline Speed Skating,30-39, False
Florian Michl,Skateboard,Skateboard Push,30-39, False
Jacob Puharic,Paddle,Skateboard Paddle,19-29, False
Daniel Lindsey,Skateboard,Skateboard Push,19-29, False
Holger Witzel,Skateboard,Skateboard Push,50-59, False
Stefan Gransow,Skateboard,Skateboard Push,40-49, False
Landy Cook,Paddle,Skateboard Paddle,50-59, False
Kyle Williams,Skateboard,Skateboard Push,30-39, False
Gustautas Jarasunas,Skateboard,Skateboard Push,30-39, False
Andrew Robson,Skateboard,Skateboard Push,30-39, False
Ben Van Poucke,Inline Skating,Inline Speed Skating,19-29, False
