Name,Sport,Discipline,Age Category,Total Miles,Total Laps,Average Speed (kph),Total Time (HH:MM:SS)
Team Vandra,Skateboard,Team,, True
Kyle Yan,Skateboard,Skateboard,Ages 19 - 29, False
Jay Cobb,Skateboard,Skateboard,Ages 40 - 49, False
Kaspar Heinrici,Skateboard,Skateboard,Ages 30 - 39, False
Shumie Loo,Skateboard,Skateboard,Ages 19 - 29, False
Maxwell Frank,Skateboard,Skateboard,Ages 19 - 29, False
Felipe Scolfaro,Skateboard,Skateboard,Ages 30 - 39, False
Fournier Benoit,Skateboard,Skateboard,Ages 30 - 39, False
Oas,Skateboard,Team,, True
Julian Rodriguez,Skateboard,Skateboard,Ages 14 - 18, False
Harrison Tucker,Skateboard,Skateboard,Ages 14 - 18, False
Rosanne De Lange,Skateboard,Skateboard,Ages 30 - 39, False
Adrian Oh,Skateboard,Skateboard,Ages 30 - 39, False
Calleigh Little,Skateboard,Skateboard,Ages 19 - 29, False
Stephane Jouffre,Skateboard,Skateboard,Ages 40 - 49, False
Neena Schueller,Skateboard,Skateboard,Ages 19 - 29, False
William Frank,Skateboard,Skateboard,Ages 19 - 29, False
Ralf Merz,Skateboard,Skateboard,Ages 40 - 49, False
Mathieu Bon,Skateboard,Skateboard,Ages 19 - 29, False
Miguel Angel Alvrete,Skateboard,Skateboard,Ages 19 - 29, False
Alain Bordes,Skateboard,Skateboard,Ages 50+, False
Ehren Mohammadi,Skateboard,Skateboard,Ages 19 - 29, False
Samuel Moret,Paddle,Stand UP Paddle,, False
Anne Palmer,Skateboard,Skateboard,Ages 50+, False
Francisco Rodriguez,Skateboard,Skateboard,Ages 40 - 49, False
Edwin Aguiriano,Skateboard,Skateboard,Ages 19 - 29, False
Fabien Bagland,Skateboard,Skateboard,Ages 50+, False
Clinton Choo,Skateboard,Skateboard,Ages 19 - 29, False
Raymond Tan,Skateboard,Skateboard,Ages 50+, False
Spencer Steel,Skateboard,Skateboard,Ages 19 - 29, False
Andrew Andras,Skateboard,Skateboard,Ages 40 - 49, False
Jendrossek Sip,Skateboard,Skateboard,Ages 40 - 49, False
Meng Lung Wu,Skateboard,Skateboard,Ages 40 - 49, False
Danielle Van Veen,Skateboard,Skateboard,Ages 14 - 18, False
Saskia Tromp,Skateboard,Skateboard,Ages 19 - 29, False
Leonard Leffler,Skateboard,Skateboard,Ages 40 - 49, False
A J Dill,Skateboard,Skateboard,Ages 30 - 39, False
Drew Maslowski,Skateboard,Skateboard,Ages 19 - 29, False
Daniel Dimassa,Skateboard,Skateboard,Ages 30 - 39, False
